epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
162,102674,0.75235,0.58876,0.08486,0.77529,0.53966,0.60474,0.32551,0.74143,0.49789,0.09848,0.004687,0.004687,0.004687
163,103307,0.68355,0.58087,0.07603,0.76777,0.52988,0.59729,0.3209,0.75498,0.4918,0.09955,0.004654,0.004654,0.004654
164,103943,0.8428,0.56728,0.09391,0.74905,0.5293,0.59643,0.31693,0.75852,0.49138,0.10005,0.004621,0.004621,0.004621
165,104578,0.88718,0.6173,0.10079,0.76814,0.52369,0.59356,0.31717,0.76519,0.48499,0.10021,0.004588,0.004588,0.004588
166,105213,0.80518,0.61407,0.08898,0.77032,0.52825,0.59507,0.31727,0.76972,0.48112,0.1003,0.004555,0.004555,0.004555
167,105848,0.77985,0.59701,0.08899,0.76956,0.53054,0.59724,0.31905,0.76764,0.48246,0.10022,0.004522,0.004522,0.004522
168,106484,0.80234,0.55241,0.09364,0.77053,0.53177,0.5975,0.31818,0.75837,0.49002,0.0995,0.004489,0.004489,0.004489
169,107118,0.91313,0.51449,0.10245,0.77093,0.53684,0.60441,0.31647,0.75243,0.49507,0.09906,0.004456,0.004456,0.004456
170,107753,0.98056,0.53152,0.11255,0.77128,0.53679,0.6069,0.31426,0.74803,0.50122,0.09858,0.004423,0.004423,0.004423
171,108387,0.96784,0.55798,0.11116,0.77131,0.53397,0.60555,0.3117,0.74581,0.50337,0.09859,0.00439,0.00439,0.00439
172,109022,0.80081,0.58743,0.08933,0.76123,0.53477,0.60492,0.31383,0.74563,0.50337,0.09867,0.004357,0.004357,0.004357
173,109659,0.80431,0.54985,0.09049,0.75753,0.53655,0.60508,0.31587,0.7415,0.50612,0.09795,0.004324,0.004324,0.004324
174,110294,1.06285,0.48536,0.12553,0.76005,0.53772,0.60569,0.31679,0.74258,0.50537,0.09749,0.004291,0.004291,0.004291
175,110929,0.89429,0.52473,0.10062,0.76366,0.5345,0.60674,0.31733,0.73898,0.50872,0.09691,0.004258,0.004258,0.004258
176,111565,1.08271,0.50211,0.12388,0.7621,0.53674,0.60633,0.31587,0.73341,0.51121,0.09649,0.004225,0.004225,0.004225
177,112199,0.85338,0.52738,0.09366,0.76118,0.54317,0.61175,0.31761,0.7269,0.51613,0.09525,0.004192,0.004192,0.004192
178,112835,0.7958,0.53474,0.08746,0.75291,0.54631,0.61462,0.31868,0.7144,0.52346,0.09399,0.004159,0.004159,0.004159
179,113470,0.82556,0.51512,0.09043,0.75778,0.54376,0.61366,0.31821,0.70867,0.52603,0.09331,0.004126,0.004126,0.004126
180,114105,0.78364,0.51666,0.08574,0.7608,0.54628,0.61698,0.31905,0.69923,0.53371,0.09206,0.004093,0.004093,0.004093
181,114739,0.91148,0.52258,0.10194,0.75486,0.54372,0.61444,0.31514,0.69915,0.53609,0.09207,0.00406,0.00406,0.00406
182,115373,0.75679,0.52068,0.08439,0.755,0.54642,0.62039,0.31867,0.68869,0.54454,0.09052,0.004027,0.004027,0.004027
183,116006,0.76724,0.50251,0.0842,0.75574,0.55113,0.62428,0.319,0.6741,0.55413,0.08945,0.003994,0.003994,0.003994
184,116640,0.80544,0.53648,0.0947,0.73277,0.53718,0.61452,0.31059,0.68564,0.55051,0.08979,0.003961,0.003961,0.003961
185,117274,0.79127,0.50153,0.08813,0.72661,0.54009,0.61577,0.31043,0.68199,0.55181,0.0895,0.003928,0.003928,0.003928
186,117909,1.02507,0.48831,0.11388,0.73379,0.54743,0.61918,0.31427,0.67599,0.5546,0.08888,0.003895,0.003895,0.003895
187,118543,0.92595,0.52699,0.10171,0.7282,0.55165,0.6237,0.31861,0.66675,0.55931,0.08771,0.003862,0.003862,0.003862
