epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
110,22517.2,1.52684,0.76043,0.00332,0.8142,0.76003,0.83209,0.51586,1.62948,0.93706,0.00417,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,22721.1,1.52577,0.77067,0.00332,0.81532,0.76594,0.83171,0.5161,1.63025,0.93467,0.00417,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,22924.7,1.52291,0.75404,0.00327,0.82284,0.75804,0.83068,0.51538,1.63126,0.93676,0.00416,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,23128.9,1.52631,0.77074,0.00333,0.83327,0.75001,0.83027,0.5159,1.63044,0.93711,0.00416,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,23332.7,1.52349,0.75914,0.00332,0.80815,0.76212,0.83092,0.51661,1.63134,0.9386,0.00416,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,23535.9,1.51799,0.75675,0.00328,0.81637,0.75724,0.83044,0.51561,1.63309,0.94068,0.00415,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,23739.7,1.51163,0.74545,0.00329,0.80912,0.76688,0.83023,0.51705,1.63037,0.9435,0.00415,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,23944.1,1.50545,0.73347,0.00328,0.80909,0.76764,0.83014,0.51679,1.62873,0.94394,0.00414,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,24148,1.51541,0.74664,0.00324,0.83176,0.74889,0.82994,0.51737,1.62695,0.94605,0.00413,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,24351.8,1.47931,0.72584,0.00318,0.83401,0.74887,0.83057,0.51703,1.6254,0.94468,0.00412,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,24555.9,1.50278,0.75399,0.00323,0.82121,0.75557,0.82903,0.51644,1.623,0.94766,0.00411,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,24759.9,1.50162,0.74191,0.00323,0.82787,0.75111,0.82769,0.51633,1.62427,0.94916,0.0041,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,24963.7,1.50095,0.73412,0.00318,0.82463,0.75368,0.82814,0.51744,1.62685,0.94728,0.0041,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,25168,1.51118,0.74111,0.00325,0.80885,0.76061,0.83022,0.51932,1.62639,0.94867,0.0041,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,25371.7,1.49223,0.72706,0.00324,0.81638,0.75648,0.83095,0.51924,1.62815,0.94802,0.0041,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,25575.9,1.48695,0.7185,0.00321,0.82314,0.7557,0.83124,0.51921,1.62692,0.94936,0.0041,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,25779.3,1.48828,0.73244,0.00316,0.81901,0.76421,0.83232,0.52028,1.62718,0.94744,0.0041,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,25983.5,1.48409,0.72174,0.00317,0.79065,0.7761,0.83159,0.51942,1.62651,0.94703,0.0041,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,26187.1,1.47763,0.71519,0.00317,0.81887,0.75632,0.83067,0.51805,1.62619,0.94917,0.00411,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,26391.2,1.47962,0.71823,0.0032,0.81532,0.75786,0.83008,0.51776,1.62058,0.95515,0.00409,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,26594.7,1.47269,0.70997,0.00319,0.82204,0.7606,0.82807,0.51699,1.61955,0.95492,0.00408,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,26798.9,1.47322,0.7066,0.00315,0.82749,0.75996,0.82913,0.51913,1.61892,0.95429,0.00409,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,27002.9,1.47577,0.70944,0.00317,0.82887,0.75862,0.82929,0.51864,1.62221,0.95024,0.00409,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,27206.8,1.46319,0.71702,0.00314,0.82027,0.76062,0.83038,0.51896,1.62431,0.94857,0.00409,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,27410,1.45185,0.69641,0.00302,0.82451,0.75718,0.8303,0.51859,1.62588,0.94342,0.00408,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,27614.4,1.45331,0.70115,0.00313,0.83232,0.75846,0.83023,0.51932,1.62461,0.94576,0.00409,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,27818.2,1.44687,0.69143,0.00312,0.83001,0.75716,0.82708,0.52039,1.62428,0.94649,0.0041,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
